model,r.squared,adj.r.squared,statistic,p.value,df.residual
M1_Pooled_OLS,0.05384261537050053,0.05149967508664699,22.98078860206556,1.6640609716548856e-26,2423
M2_Within_FE,0.056903065206986715,-0.012276824839694722,68.27062617464395,1.6236453264614767e-29,2263
M3_Within_ULCC,0.05941436308405932,-0.01002763575102561,47.62823076085792,7.634966380260321e-30,2262
M4_Within_TierInteraction,0.06088000059143297,-0.009346229452836141,29.301644395450676,6.562946820898161e-29,2260
